Gender,Age at time of application,Year of Application,A-levels scores,Education,University Name,Address,Current Employment,Current Employment Sector,Current Annual Income,References Submitted,Refree 1,Refree 2,Refree 3,Was Hired by a Company within 6 months
Trans,40,2002,61,Law,ASTON UNIVERSITY,Argyll and Bute,Contractual,Accounting,141537,0,NA,NA,NA,0
Male,44,2019,67,Business,"UNIVERSITY OF THE WEST OF ENGLAND, BRISTOL",Cardiganshire,Contractual,Transportation,55911,1,Contractual:Law,Contractual:Health,Contractual:Engineering,0
Trans,46,2005,69,Business,NORTHUMBRIA UNIVERSITY NEWCASTLE,Glasgow City,Contractual,IT,95165,1,Contractual:Law,Contractual:IT,Salaried:Engineering,0
Trans,44,2021,62,Business,THE CONSERVATOIRE FOR DANCE AND DRAMA,Northumberland,Contractual,Arts,50219,0,NA,NA,NA,0
Male,45,2018,81,Arts,FALMOUTH UNIVERSITY,Flintshire,Contractual,Engineering,0,1,Self Business:IT,Salaried:Law,Contractual:Arts,1
Trans,40,2018,55,STEM,UNIVERSITY OF PORTSMOUTH,Glasgow City,Contractual,Accounting,112033,0,NA,NA,NA,0
Female,44,2001,46,STEM,UNIVERSITY OF ST ANDREWS,Fife,Salaried,Engineering,148507,1,Contractual:Transportation,Contractual:Engineering,Salaried:IT,0
Male,45,2001,87,Arts,NEWMAN UNIVERSITY,Glasgow City,Contractual,Law,89965,1,Salaried:Transportation,Salaried:Arts,Self Business:IT,1
Non-binary,43,2012,57,Law,UNIVERSITY COLLEGE BIRMINGHAM,Somerset,Self Business,IT,149950,1,Salaried:Accounting,Contractual:Transportation,Self Business:Law,0
Non-binary,46,2017,78,STEM,FALMOUTH UNIVERSITY,Buckinghamshire,Salaried,Health,89357,1,Salaried:Transportation,Self Business:Transportation,Contractual:IT,1
Trans,45,2002,44,Arts,YORK ST JOHN UNIVERSITY,Dumfries and Galloway,Self Business,Health,94355,1,Self Business:Transportation,Contractual:Arts,Salaried:Engineering,0
Non-binary,44,2000,70,Business,LONDON SOUTH BANK UNIVERSITY,Buckinghamshire,Salaried,IT,57995,1,Salaried:Transportation,Salaried:Transportation,Contractual:IT,1
Female,45,2012,70,STEM,UNIVERSITY OF ABERDEEN,Aberdeenshire,None,None,0,0,NA,NA,NA,0
Trans,43,2015,53,Arts,STRANMILLIS UNIVERSITY COLLEGE,Northamptonshire,None,None,0,1,Self Business:IT,Self Business:Transportation,Salaried:Engineering,0
Non-binary,45,2015,72,Business,UNIVERSITY OF ST ANDREWS,Caernarvonshire,Salaried,Arts,85951,1,Salaried:Health,Salaried:IT,Self Business:Engineering,1
Female,45,2003,59,Business,HARPER ADAMS UNIVERSITY,North Ayrshire,Contractual,Engineering,64868,0,NA,NA,NA,0
Trans,41,1999,73,Arts,UNIVERSITY OF DERBY,Durham,None,None,0,1,Contractual:IT,Contractual:Arts,Self Business:Transportation,0
Male,49,2008,52,Law,KING'S COLLEGE LONDON,West Berkshire,None,None,0,0,NA,NA,NA,0
Male,45,2002,67,Arts,LIVERPOOL JOHN MOORES UNIVERSITY,North Lanarkshire,Self Business,Engineering,133236,0,NA,NA,NA,0
Female,43,2018,84,Business,Universirt of Cambridge,Fermanagh,Contractual,Law,95813,1,Salaried:Health,Self Business:Engineering,Contractual:Arts,1
Female,46,2013,64,Arts,ASTON UNIVERSITY,Devon,Salaried,Health,137300,0,NA,NA,NA,0
Non-binary,40,2001,86,Business, University of Oxford,Dorset,Self Business,Law,65977,1,Self Business:Health,Self Business:Health,Contractual:Health,1
Female,47,2009,88,Arts,UNIVERSITY OF GREENWICH,Cheshire,Contractual,Transportation,149148,1,Self Business:Transportation,Self Business:Law,Contractual:Transportation,1
Male,40,2003,42,Business,"UNIVERSITY OF NOTTINGHAM, THE",South Yorkshire,None,None,0,0,NA,NA,NA,0
Non-binary,46,2009,68,Business,OXFORD BROOKES UNIVERSITY,Montgomeryshire,Salaried,Transportation,109755,1,Contractual:Engineering,Contractual:Law,Salaried:Accounting,0
Male,48,2004,63,STEM,ASTON UNIVERSITY,Fife,Salaried,Arts,89317,1,Salaried:Accounting,Salaried:Law,Self Business:Health,0
Non-binary,46,2004,88,STEM,Universirt of Cambridge,South Yorkshire,Salaried,Health,0,1,Self Business:Law,Salaried:Health,Contractual:Health,1
Male,46,2006,87,Law,THE CONSERVATOIRE FOR DANCE AND DRAMA,Essex,Salaried,Arts,83316,1,Salaried:Accounting,Salaried:Law,Contractual:Transportation,1
Male,49,2008,82,STEM,UNIVERSITY OF STIRLING,Down,Salaried,Arts,68466,1,Self Business:Health,Self Business:Law,Contractual:Health,1
Male,48,2020,73,Law,GLASGOW CALEDONIAN UNIVERSITY,Moray,Salaried,Accounting,117612,1,Self Business:Transportation,Contractual:Arts,Contractual:Accounting,0
Non-binary,48,2005,85,Business,WRITTLE COLLEGE,Inverclyde,Salaried,Engineering,101913,1,Salaried:Accounting,Salaried:Transportation,Self Business:IT,1
Female,40,2015,61,Arts,LEEDS METROPOLITAN UNIVERSITY,Staffordshire,Contractual,Transportation,87701,1,Contractual:Engineering,Contractual:Arts,Salaried:Law,0
Female,42,2021,41,Business,UNIVERSITY OF WALES PRIFYSGOL CYMRU,Essex,Self Business,Law,85729,0,NA,NA,NA,0
Non-binary,45,2018,62,Business,UNIVERSITY OF SHEFFIELD,Gloucestershire,Salaried,Transportation,140960,0,NA,NA,NA,0
Trans,49,2017,78,Arts,UNIVERSITY OF KENT,City of Edinburgh,None,None,0,0,NA,NA,NA,0
Male,44,1999,50,Arts,"UNIVERSITY OF WORCESTER, THE",Orkney Islands,Salaried,IT,120070,0,NA,NA,NA,0
Non-binary,47,2009,70,Business,UNIVERSITY OF LANCASTER,Oxfordshire,Self Business,Health,91196,0,NA,NA,NA,0
Male,49,2015,58,Arts,UNIVERSITY OF CHESTER,East Lothian,Salaried,Arts,85171,0,NA,NA,NA,0
Male,44,2008,61,STEM,NORTHUMBRIA UNIVERSITY NEWCASTLE,West Dunbartonshire,None,None,100673,1,Self Business:Transportation,Self Business:Engineering,Contractual:Accounting,0
Non-binary,47,2009,84,STEM,University College London,Aberdeen City,Contractual,Engineering,115055,1,Self Business:Engineering,Self Business:Accounting,Contractual:Accounting,1
Male,41,2009,89,Law,LIVERPOOL HOPE UNIVERSITY,Essex,Contractual,Transportation,66482,1,Self Business:Accounting,Salaried:Engineering,Contractual:Transportation,1
Male,40,2016,79,Law,THE UNIVERSITY OF BUCKINGHAM,Surrey,Contractual,Arts,0,1,Salaried:IT,Salaried:Health,Contractual:Arts,1
Trans,43,2006,71,Business,LEEDS TRINITY UNIVERSITY,Perth and Kinross,None,None,117003,0,NA,NA,NA,0
Trans,48,2001,44,Law,UNIVERSITY OF SOUTHAMPTON,Merionethshire,Contractual,IT,116048,0,NA,NA,NA,0
Male,42,2021,57,STEM,ST MARY'S UNIVERSITY COLLEGE,Argyll and Bute,Self Business,Law,119715,1,Salaried:Accounting,Self Business:Accounting,Contractual:Transportation,0
Female,49,2019,76,Business,"ST. GEORGE'S, UNIVERSITY OF LONDON",Warwickshire,Self Business,Health,70709,0,NA,NA,NA,0
Male,40,2001,80,Business,DE MONTFORT UNIVERSITY,Glasgow City,None,None,0,1,Self Business:Arts,Contractual:Arts,Self Business:Accounting,0
Trans,41,2021,57,Law,UNIVERSITY OF BEDFORDSHIRE,Highland,Salaried,Law,40751,0,NA,NA,NA,0
Trans,47,2019,66,Law,EDINBURGH NAPIER UNIVERSITY,Merseyside,Self Business,Health,138575,0,NA,NA,NA,0
Male,42,2007,73,Law,LEEDS METROPOLITAN UNIVERSITY,Anglesey,Self Business,Accounting,149732,1,Contractual:Law,Contractual:Arts,Contractual:IT,0
Male,41,2013,43,Arts,BIRKBECK COLLEGE,Wiltshire,None,None,0,0,NA,NA,NA,0
Trans,48,2007,62,STEM,THE UNIVERSITY OF CUMBRIA,Tyne and Wear,None,None,0,1,Contractual:Accounting,Contractual:Law,Contractual:Accounting,0
Male,48,2017,68,STEM,UNIVERSITY OF BRADFORD,Hampshire,Self Business,Transportation,133866,1,Self Business:Accounting,Contractual:Transportation,Contractual:Arts,0
Trans,43,2005,86,Business,ROYAL ACADEMY OF MUSIC,Shropshire,Contractual,Engineering,81848,1,Self Business:IT,Self Business:Arts,Contractual:Arts,1
Male,41,2007,68,Law,UNIVERSITY OF SUNDERLAND,Denbighshire,Salaried,IT,81494,0,NA,NA,NA,0
Non-binary,40,2015,83,Business,SHEFFIELD HALLAM UNIVERSITY,Hampshire,Self Business,Transportation,80588,1,Self Business:Health,Self Business:Arts,Contractual:Law,1
Non-binary,49,2007,48,STEM,SWANSEA METROPOLITAN UNIVERSITY,Cheshire,None,None,0,0,NA,NA,NA,0
Trans,41,2004,84,STEM,THE CONSERVATOIRE FOR DANCE AND DRAMA,East Dunbartonshire,Salaried,Arts,0,1,Salaried:Health,Salaried:Law,Contractual:Engineering,1
Trans,41,2007,42,STEM,COURTAULD INSTITUTE OF ART,Merseyside,Contractual,Accounting,55775,1,Self Business:Engineering,Contractual:Law,Contractual:Law,0
Non-binary,42,2022,58,STEM,UNIVERSITY OF EAST ANGLIA,East Renfrewshire,None,None,0,0,NA,NA,NA,0
Male,48,2002,56,Arts,HARPER ADAMS UNIVERSITY,Anglesey,Contractual,Accounting,121050,0,NA,NA,NA,0
Non-binary,44,2011,56,Arts,UNIVERSITY OF BOLTON,Radnorshire,None,None,0,1,Self Business:Transportation,Contractual:Health,Contractual:IT,0
Trans,47,2006,43,STEM,KINGSTON UNIVERSITY,Gloucestershire,Contractual,Law,62043,0,NA,NA,NA,0
Male,49,2008,89,Business,IMPERIAL COLLEGE LONDON,Tyrone,Self Business,Arts,84144,1,Self Business:IT,Self Business:Accounting,Contractual:IT,1
Male,47,2008,46,Law,UNIVERSITY OF HUDDERSFIELD,Renfrewshire,Self Business,Engineering,51477,0,NA,NA,NA,0
Non-binary,45,2010,89,Arts,Universirt of Cambridge,Devon,Contractual,Arts,0,1,Self Business:Arts,Self Business:Law,Contractual:Accounting,1
Non-binary,47,2001,65,Law,SWANSEA UNIVERSITY,Cambridgeshire,None,None,43589,0,NA,NA,NA,0
Non-binary,47,2017,51,Arts,HARPER ADAMS UNIVERSITY,Inverclyde,Contractual,Law,108698,0,NA,NA,NA,0
Male,48,2010,85,Business, University of Oxford,Greater London,Contractual,Law,0,1,Salaried:Transportation,Salaried:Health,Contractual:Arts,1
Trans,42,1999,48,Arts,CARDIFF METROPOLITAN UNIVERSITY,Antrim,None,None,0,0,NA,NA,NA,0
Trans,43,2003,57,Law,UNIVERSITY OF READING,Renfrewshire,Salaried,Accounting,123533,1,Self Business:Law,Self Business:Health,Salaried:Accounting,0
Male,41,1999,44,Arts,IMPERIAL COLLEGE LONDON,Cheshire,Self Business,Transportation,69107,1,Self Business:Accounting,Contractual:Engineering,Contractual:IT,0
Non-binary,43,1999,45,Business,UNIVERSITY OF WINCHESTER,Fife,Contractual,Transportation,89764,0,NA,NA,NA,0
Non-binary,40,2009,50,STEM,GLYNDWR UNIVERSITY,Scottish Borders,None,None,131995,1,Contractual:Transportation,Contractual:IT,Salaried:Health,0
Trans,47,2000,77,STEM,"UNIVERSITY OF THE WEST OF ENGLAND, BRISTOL",City of Edinburgh,Salaried,Health,106928,0,NA,NA,NA,0
Trans,45,2012,67,Arts,LONDON SCHOOL OF ECONOMICS & POLITICAL SCIENCE,Montgomeryshire,Self Business,IT,82790,1,Salaried:Arts,Contractual:Health,Salaried:Accounting,0
Female,42,2004,69,Business,GLYNDWR UNIVERSITY,Perth and Kinross,Self Business,Engineering,97419,1,Salaried:IT,Contractual:Transportation,Self Business:Health,0
Non-binary,49,1998,60,Arts,UNIVERSITY OF SUSSEX,Moray,Self Business,Law,68272,1,Salaried:Accounting,Self Business:Transportation,Self Business:Arts,0
Female,45,2007,83,Law,"UNIVERSITY OF THE ARTS, LONDON",Kent,Self Business,IT,117756,1,Salaried:IT,Self Business:Accounting,Contractual:Health,1
Trans,40,2003,74,Arts,Universirt of Cambridge,Durham,Self Business,Arts,0,1,Salaried:Health,Salaried:Accounting,Contractual:Arts,1
Non-binary,45,2011,48,STEM,UNIVERSITY OF EAST ANGLIA,Down,Contractual,Engineering,66624,0,NA,NA,NA,0
Female,43,2012,72,Arts,NORWICH UNIVERSITY OF THE ARTS,Clackmannanshire,Self Business,Arts,49431,0,NA,NA,NA,0
Trans,45,2012,81,Arts,Universirt of Cambridge,East Dunbartonshire,Salaried,Engineering,0,1,Self Business:IT,Self Business:Accounting,Contractual:Accounting,1
Trans,44,2018,83,STEM,UNIVERSITY OF ABERTAY DUNDEE,Clackmannanshire,Salaried,Law,114188,1,Self Business:Health,Contractual:Health,Salaried:Arts,1
Male,44,2010,89,Business,UNIVERSITY OF ABERDEEN,Lincolnshire,Contractual,Arts,0,1,Salaried:Engineering,Salaried:IT,Contractual:Engineering,1
Trans,46,2000,84,STEM,BATH SPA UNIVERSITY,Buckinghamshire,Self Business,Law,0,1,Salaried:Transportation,Salaried:Health,Contractual:Transportation,1
Trans,44,2015,59,Law,ROYAL HOLLOWAY COLLEGE AND BEDFORD NEW COLLEGE,Leicestershire,Salaried,Health,114052,1,Contractual:Health,Salaried:Law,Contractual:Engineering,0
Trans,45,2022,79,Arts,UNIVERSITY OF GLOUCESTERSHIRE,Buckinghamshire,Contractual,Health,63636,1,Salaried:Health,Self Business:Arts,Contractual:Health,1
Female,46,2002,89,Arts,UNIVERSITY OF SOUTHAMPTON,Gloucestershire,Salaried,Health,82809,1,Salaried:Accounting,Self Business:Accounting,Contractual:Transportation,1
Trans,44,2008,82,STEM,UNIVERSITY OF CAMBRIDGE,Cornwall,Contractual,IT,149525,1,Salaried:Health,Self Business:Arts,Contractual:Engineering,1
Female,45,2008,85,Arts,IMPERIAL COLLEGE LONDON,Somerset,Contractual,Arts,0,1,Self Business:Engineering,Self Business:Health,Contractual:Transportation,1
Male,45,1998,88,Business,HARPER ADAMS UNIVERSITY,Perth and Kinross,Self Business,Accounting,71994,1,Self Business:Transportation,Salaried:Arts,Self Business:IT,1
Trans,44,2009,80,Arts,University College London,Dumfries and Galloway,Self Business,Law,118483,1,Self Business:Transportation,Salaried:Transportation,Contractual:IT,1
Trans,44,2017,78,STEM,UNIVERSITY CAMPUS SUFFOLK LTD,Denbighshire,Contractual,Accounting,51016,0,NA,NA,NA,0
Trans,40,2009,84,STEM,ANGLIA RUSKIN UNIVERSITY,Stirling,Contractual,Accounting,0,1,Self Business:Accounting,Self Business:Accounting,Contractual:Health,1
Trans,41,2009,67,Law,CARDIFF UNIVERSITY,Stirling,Salaried,Accounting,93431,1,Self Business:Engineering,Salaried:Transportation,Contractual:Health,0
Male,41,2005,69,Arts,UNIVERSITY OF SURREY,Dumfries and Galloway,Salaried,IT,55641,1,Self Business:Accounting,Contractual:Transportation,Contractual:Transportation,0
Trans,48,2021,57,Business,THE UNIVERSITY OF CHICHESTER,Northamptonshire,Self Business,Accounting,84585,0,NA,NA,NA,0
Trans,45,2009,86,STEM,UNIVERSITY OF HULL,Greater London,Salaried,IT,57644,1,Salaried:Engineering,Salaried:IT,Contractual:Health,1
Male,41,2014,42,Arts,UNIVERSITY OF BATH (THE),West Sussex,Self Business,Accounting,69475,1,Self Business:Accounting,Self Business:Law,Self Business:Health,0
Female,49,2002,76,Arts,LONDON SCHOOL OF ECONOMICS & POLITICAL SCIENCE,Leicestershire,Salaried,Law,114024,1,Salaried:Arts,Self Business:IT,Self Business:Transportation,0
Male,47,2018,87,Business,SHEFFIELD HALLAM UNIVERSITY,Essex,Contractual,Engineering,0,1,Self Business:Transportation,Salaried:Engineering,Contractual:Health,1
Non-binary,44,2012,59,STEM,LONDON BUSINESS SCHOOL,East Lothian,Salaried,Arts,82271,1,Self Business:Health,Contractual:Law,Salaried:Health,0
Female,45,2003,71,STEM,UNIVERSITY OF WEST LONDON,Buckinghamshire,Salaried,Engineering,149491,0,NA,NA,NA,0
Male,42,2010,52,STEM,YORK ST JOHN UNIVERSITY,Clackmannanshire,Self Business,IT,140561,1,Self Business:Health,Salaried:Engineering,Contractual:Accounting,0
Male,41,2019,66,Arts,HARPER ADAMS UNIVERSITY,Suffolk,None,None,0,0,NA,NA,NA,0
Male,46,2015,64,Law,UNIVERSITY OF ULSTER,South Yorkshire,None,None,0,0,NA,NA,NA,0
Non-binary,43,2006,61,Arts,ANGLIA RUSKIN UNIVERSITY,Argyll and Bute,None,None,0,1,Contractual:Law,Salaried:Engineering,Contractual:Transportation,0
Male,46,2007,87,Arts,UNIVERSITY OF HUDDERSFIELD,Cleveland,Salaried,Law,106784,1,Self Business:Health,Salaried:IT,Contractual:Engineering,1
Trans,45,2007,53,STEM,LONDON SOUTH BANK UNIVERSITY,East Ayrshire,Contractual,IT,89606,1,Salaried:Law,Contractual:Health,Contractual:Arts,0
Trans,47,2011,40,Business,UNIVERSITY OF EAST LONDON,Cambridgeshire,None,None,0,0,NA,NA,NA,0
Trans,46,2012,42,Law,UNIVERSITY CAMPUS SUFFOLK LTD,Northamptonshire,None,None,115630,1,Self Business:IT,Contractual:Engineering,Salaried:Arts,0
Non-binary,43,2000,54,Business,MANCHESTER METROPOLITAN UNIVERSITY,Gloucestershire,None,None,0,0,NA,NA,NA,0
Non-binary,45,2007,46,Business,UNIVERSITY OF SHEFFIELD,Greater London,Contractual,Arts,116141,0,NA,NA,NA,0
Trans,42,2005,43,Law,LEEDS COLLEGE OF ART,Angus,None,None,0,0,NA,NA,NA,0
Trans,45,1999,47,Law,LONDON SCHOOL OF HYGIENE AND TROPICAL MEDICINE,Kent,Self Business,Arts,77481,1,Self Business:Transportation,Self Business:Engineering,Contractual:Transportation,0
Trans,47,2012,41,Arts,CANTERBURY CHRIST CHURCH UNIVERSITY,Stirling,None,None,0,1,Self Business:Transportation,Contractual:Transportation,Contractual:Law,0
Non-binary,47,2020,68,Law,GLYNDWR UNIVERSITY,Glamorgan,None,None,89504,0,NA,NA,NA,0
Male,48,2008,86,Business,UNIVERSITY OF OXFORD,Renfrewshire,Self Business,Law,142908,1,Salaried:Health,Self Business:Accounting,Self Business:Transportation,1
Non-binary,44,2018,72,Law,UNIVERSITY OF BIRMINGHAM,Glamorgan,None,None,74263,0,NA,NA,NA,0
Female,46,2013,88,Arts,NORTHUMBRIA UNIVERSITY NEWCASTLE,Essex,Self Business,Engineering,0,1,Salaried:IT,Self Business:Arts,Contractual:Law,1
Non-binary,47,2005,60,STEM,UNIVERSITY OF SUSSEX,Leicestershire,Salaried,Law,88988,0,NA,NA,NA,0
Trans,42,2010,70,Business,ASTON UNIVERSITY,West Sussex,Salaried,Accounting,74867,1,Salaried:Transportation,Self Business:Transportation,Salaried:Transportation,0
Trans,43,2008,80,Arts,UNIVERSITY OF EAST LONDON,Moray,Self Business,Accounting,84579,0,NA,NA,NA,0
Female,41,2010,51,STEM,STRANMILLIS UNIVERSITY COLLEGE,Essex,Salaried,Transportation,90686,0,NA,NA,NA,0
Female,46,2011,82,Arts,SWANSEA UNIVERSITY,Hampshire,Salaried,Transportation,143250,1,Salaried:Transportation,Salaried:Engineering,Contractual:Arts,1
Trans,49,2015,52,Business,UNIVERSITY OF GLOUCESTERSHIRE,Worcestershire,Salaried,Health,100935,1,Salaried:Law,Self Business:Engineering,Self Business:Accounting,0
Male,47,2020,66,STEM,UNIVERSITY OF WOLVERHAMPTON,Fife,Contractual,Engineering,89460,1,Contractual:Accounting,Contractual:Accounting,Self Business:IT,0
Female,43,1998,52,Business,UNIVERSITY OF ULSTER,North Ayrshire,None,None,0,0,NA,NA,NA,0
Female,41,2015,45,STEM,DE MONTFORT UNIVERSITY,Cheshire,Salaried,Engineering,105338,1,Self Business:Engineering,Contractual:Arts,Contractual:Accounting,0
Non-binary,41,2012,63,STEM,UNIVERSITY OF LEEDS,East Lothian,None,None,0,0,NA,NA,NA,0
Non-binary,44,2006,86,Arts,Universirt of Cambridge,Dorset,Salaried,Accounting,0,1,Salaried:Arts,Self Business:Law,Contractual:Law,1
Female,40,2011,73,Arts,UNIVERSITY COLLEGE LONDON,Argyll and Bute,Salaried,Health,71782,0,NA,NA,NA,0
Non-binary,41,1998,72,Law,UNIVERSITY OF ST ANDREWS,Tyne and Wear,Salaried,Accounting,44300,1,Self Business:Accounting,Self Business:Engineering,Contractual:Law,1
Female,41,2009,67,Business,"UNIVERSITY OF WORCESTER, THE",East Lothian,Salaried,Law,77837,0,NA,NA,NA,0
Female,45,2007,79,STEM,LEEDS METROPOLITAN UNIVERSITY,Scottish Borders,Self Business,Accounting,51424,1,Contractual:Engineering,Salaried:Law,Salaried:Accounting,0
Female,47,2001,79,Arts,THE UNIVERSITY OF BUCKINGHAM,Leicestershire,Contractual,Transportation,112424,1,Salaried:Transportation,Salaried:IT,Salaried:Transportation,0
Female,43,2020,71,Law,UNIVERSITY OF LINCOLN,Gloucestershire,Contractual,Accounting,69820,0,NA,NA,NA,0
Non-binary,48,1998,70,Business,GLASGOW CALEDONIAN UNIVERSITY,Armagh,None,None,0,1,Self Business:Accounting,Contractual:Engineering,Contractual:Transportation,0
Male,49,2003,51,STEM,CARDIFF UNIVERSITY,Warwickshire,Self Business,IT,105897,0,NA,NA,NA,0
Female,40,2003,63,STEM,UNIVERSITY OF KENT,Dumfries and Galloway,Contractual,Engineering,118650,0,NA,NA,NA,0
Non-binary,42,2007,74,Arts,UNIVERSITY OF ESSEX,Durham,None,None,0,1,Contractual:Health,Self Business:Health,Contractual:Accounting,0
Trans,41,2005,41,Business,UNIVERSITY OF BATH (THE),Falkirk,None,None,0,0,NA,NA,NA,0
Female,41,2020,89,STEM,UNIVERSITY OF SUSSEX,Berkshire,Salaried,Accounting,53607,1,Salaried:IT,Salaried:Law,Contractual:Law,1
Male,49,2010,69,Law,IMPERIAL COLLEGE LONDON,Dorset,Salaried,Health,88252,0,NA,NA,NA,0
Male,42,1999,84,Arts,NOTTINGHAM TRENT UNIVERSITY,North Ayrshire,Salaried,Arts,0,1,Self Business:Engineering,Self Business:Accounting,Contractual:IT,1
Female,42,1999,57,Law,"UNIVERSITY OF THE WEST OF ENGLAND, BRISTOL",Perth and Kinross,None,None,0,1,Contractual:Law,Contractual:Engineering,Self Business:Transportation,0
Non-binary,42,2002,65,Law,UNIVERSITY OF YORK,Nottinghamshire,None,None,0,0,NA,NA,NA,0
Non-binary,48,2001,89,Arts,THE UNIVERSITY OF CHICHESTER,Suffolk,Contractual,Law,123512,1,Self Business:Transportation,Self Business:Health,Contractual:Engineering,1
Female,43,2002,87,Law,UNIVERSITY OF LONDON,West Dunbartonshire,Self Business,Law,83944,1,Self Business:IT,Self Business:Accounting,Contractual:Arts,1
Non-binary,48,2000,51,Law,COVENTRY UNIVERSITY,Lancashire,Salaried,Law,68830,1,Contractual:Health,Salaried:IT,Salaried:Arts,0
Trans,49,2002,64,Law,STAFFORDSHIRE UNIVERSITY,Nottinghamshire,Contractual,IT,119102,0,NA,NA,NA,0
Male,46,2020,61,Law,CARDIFF UNIVERSITY,Leicestershire,None,None,59824,0,NA,NA,NA,0
Male,41,2006,88,Business,UNIVERSITY COLLEGE BIRMINGHAM,Worcestershire,Salaried,IT,63226,1,Salaried:Law,Salaried:Arts,Contractual:Transportation,1
Female,41,2002,82,Business,ROYAL NORTHERN COLLEGE OF MUSIC,Essex,Self Business,Law,69972,1,Salaried:Arts,Salaried:Engineering,Contractual:Arts,1
Non-binary,40,2016,81,STEM,GLYNDWR UNIVERSITY,Glamorgan,Self Business,Arts,49798,1,Self Business:Arts,Salaried:Accounting,Contractual:Arts,1
Non-binary,41,2004,66,Business,UNIVERSITY OF ULSTER,West Dunbartonshire,Salaried,IT,146695,0,NA,NA,NA,0
Female,43,2002,85,Arts,UNIVERSITY OF LONDON,Kent,Contractual,IT,47623,1,Salaried:Transportation,Salaried:Accounting,Contractual:Law,1
Non-binary,42,1999,62,STEM,UNIVERSITY OF EAST ANGLIA,Merionethshire,None,None,0,1,Self Business:Accounting,Contractual:IT,Salaried:Health,0
Non-binary,49,2018,74,STEM,Universirt of Cambridge,Merseyside,Salaried,Engineering,0,1,Salaried:Health,Salaried:Accounting,Contractual:Engineering,1
Non-binary,40,2013,60,Arts,LONDON SOUTH BANK UNIVERSITY,Scottish Borders,None,None,0,1,Self Business:Transportation,Contractual:Transportation,Self Business:Engineering,0
